M_SITIO;M_FECHA_DIA;FIESTA;PAYLOAD_4G;THROUGHPUT_4G;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Mixta Urbana-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
d5a15865-7b2e-4261-af83-2117ec105843;22/05/2021;0;488.85;9747.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/05/2021;0;462.92;9875.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/05/2021;0;435.79;9351.11;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/05/2021;0;431.61;9260.57;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/05/2021;0;565.98;11306.22;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;27/05/2021;0;569.37;11449.68;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/05/2021;0;576.41;11756.61;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;29/05/2021;0;581.06;12598.26;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;30/05/2021;0;572.88;12614.66;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;31/05/2021;0;497.1;11315.35;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/06/2021;0;536.0;11660.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/06/2021;0;579.93;11839.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/06/2021;0;554.62;11859.49;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/06/2021;0;529.73;11666.3;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/06/2021;0;552.09;11970.12;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/06/2021;0;560.13;12105.02;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/06/2021;0;510.78;12114.92;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/06/2021;0;502.88;11084.63;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/06/2021;0;427.69;9094.76;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/06/2021;0;457.43;9441.99;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/06/2021;0;533.44;9988.32;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/06/2021;0;499.69;10375.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/06/2021;0;486.54;10324.43;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/06/2021;0;435.35;10246.14;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/06/2021;0;494.69;10108.47;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/06/2021;0;524.33;10554.1;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/06/2021;0;482.79;9699.22;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/06/2021;0;468.09;9943.56;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/06/2021;0;467.81;9875.28;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;20/06/2021;0;508.89;9258.99;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;21/06/2021;0;444.52;9510.23;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;22/06/2021;0;459.84;9764.51;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/06/2021;0;486.38;9686.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/06/2021;0;466.24;9620.1;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/06/2021;0;475.63;9989.74;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/06/2021;0;479.81;10130.43;False;False;True;False;False;False;False;True
