"M_FECHA_DIA","PAYLOAD_4G","FIESTA","PAYLOAD_4G_smoo_mean","PAYLOAD_4G_smoothed","year"
2022-06-13,1280.84,0,1280.84,1280.84,2022
2022-06-14,1300.46,0,1300.46,1300.46,2022
2022-06-15,1048.75,0,1048.75,1048.75,2022
2022-06-16,1275.61,0,1275.61,1275.61,2022
2022-06-17,1473.15,0,1473.15,1473.15,2022
2022-06-18,1369.02,0,1369.02,1369.02,2022
2022-06-19,1124.18,0,1124.18,1124.18,2022
2022-06-20,1088.14,0,1088.14,1088.14,2022
2022-06-21,1257.19,0,1257.19,1257.19,2022
2022-06-22,1344.75,0,1344.75,1344.75,2022
2022-06-23,1407.98,0,1407.98,1407.98,2022
2022-06-24,1463.61,0,1463.61,1463.61,2022
2022-06-25,1559.68,0,1559.68,1559.68,2022
2022-06-26,1517.39,0,1517.39,1517.39,2022
2022-06-27,1375.64,0,1375.64,1375.64,2022
2022-06-28,1426.05,0,1426.05,1426.05,2022
2022-06-29,1464.73,0,1464.73,1464.73,2022
2022-06-30,1384.37,0,1384.37,1384.37,2022
2022-07-01,1457.64,0,1457.64,1457.64,2022
2022-07-02,1567.76,0,1567.76,1567.76,2022
2022-07-03,1555.03,0,1555.03,1555.03,2022
2022-07-04,1460.4,0,1460.4,1460.4,2022
2022-07-05,1473.52,0,1473.52,1473.52,2022
2022-07-06,1380.36,0,1380.36,1380.36,2022
2022-07-07,1359.01,0,1359.01,1359.01,2022
2022-07-08,1398.89,0,1398.89,1398.89,2022
2022-07-09,1493.3,0,1493.3,1493.3,2022
2022-07-10,1282.85,0,1282.85,1282.85,2022
2022-07-11,1303.79,0,1303.79,1303.79,2022
2022-07-12,1355.43,0,1355.43,1355.43,2022
2022-07-13,1305.77,0,1305.77,1305.77,2022
2022-07-14,1340.53,0,1340.53,1340.53,2022
2022-07-15,1332.41,0,1332.41,1332.41,2022
2022-07-16,1449.24,0,1449.24,1449.24,2022
2022-07-17,1256.4,0,1256.4,1256.4,2022
2022-07-18,1407.31,0,1407.31,1407.31,2022
2022-07-19,1163.88,0,1163.88,1163.88,2022
2022-07-20,1317.81,0,1317.81,1317.81,2022
2022-07-21,1463.78,0,1463.78,1463.78,2022
2022-07-22,1496.23,0,1496.23,1496.23,2022
2022-07-23,1581.5,0,1581.5,1581.5,2022
2022-07-24,1300.9,0,1300.9,1300.9,2022
2022-07-25,1476.44,0,1476.44,1476.44,2022
2022-07-26,1492.52,0,1492.52,1492.52,2022
2022-07-27,1510.44,0,1510.44,1510.44,2022
2022-07-28,1480.96,0,1480.96,1480.96,2022
2022-07-29,1506.91,0,1506.91,1506.91,2022
2022-07-30,1546.38,0,1546.38,1546.38,2022
2022-07-31,1294.36,0,1294.36,1294.36,2022
2022-08-01,1427.93,0,1427.93,1427.93,2022
2022-08-02,1438.32,0,1438.32,1438.32,2022
2022-08-03,1448.2,0,1448.2,1448.2,2022
2022-08-04,1499.03,0,1499.03,1499.03,2022
2022-08-05,1510.12,0,1510.12,1510.12,2022
2022-08-06,1487.63,0,1487.63,1487.63,2022
2022-08-07,1254.47,0,1254.47,1254.47,2022
2022-08-08,1427.21,0,1427.21,1427.21,2022
2022-08-09,1479.23,0,1479.23,1479.23,2022
2022-08-10,1468.66,0,1468.66,1468.66,2022
2022-08-11,1502.73,0,1502.73,1502.73,2022
2022-08-12,1550.77,0,1550.77,1550.77,2022
2022-08-13,1671.84,0,1671.84,1671.84,2022
2022-08-14,1557.61,0,1557.61,1557.61,2022
2022-08-15,1448.54,0,1448.54,1448.54,2022
2022-08-16,1545.34,0,1545.34,1545.34,2022
2022-08-17,1471.3,0,1471.3,1471.3,2022
2022-08-18,1562.13,0,1562.13,1562.13,2022
2022-08-19,1510.17,0,1510.17,1510.17,2022
2022-08-20,1528.75,0,1528.75,1528.75,2022
2022-08-21,1321.23,0,1321.23,1321.23,2022
2022-08-22,1455.43,0,1455.43,1455.43,2022
2022-08-23,1457.78,0,1457.78,1457.78,2022
2022-08-24,1541.75,0,1541.75,1541.75,2022
2022-08-25,1496.31,0,1496.31,1496.31,2022
2022-08-26,1557.11,0,1557.11,1557.11,2022
2022-08-27,1533.71,0,1533.71,1533.71,2022
2022-08-28,1313.87,0,1313.87,1313.87,2022
2022-08-29,1451.78,0,1451.78,1451.78,2022
2022-08-30,1417.89,0,1417.89,1417.89,2022
2022-08-31,1434.35,0,1434.35,1434.35,2022
2022-09-01,1508.29,0,1508.29,1508.29,2022
2022-09-02,1481.17,0,1481.17,1481.17,2022
2022-09-03,1521.42,0,1521.42,1521.42,2022
2022-09-04,1431.55,0,1431.55,1431.55,2022
2022-09-05,1486,0,1486,1486,2022
2022-09-06,1539.61,0,1539.61,1539.61,2022
2022-09-07,1481.2,0,1481.2,1481.2,2022
2022-09-08,1501.8,0,1501.8,1501.8,2022
2022-09-09,1527.03,0,1527.03,1527.03,2022
2022-09-10,1573.72,0,1573.72,1573.72,2022
2022-09-11,1337.22,0,1337.22,1337.22,2022
2022-09-12,1451.68,0,1451.68,1451.68,2022
2022-09-13,1478.91,0,1478.91,1478.91,2022
2022-09-14,1423.97,0,1423.97,1423.97,2022
2022-09-15,1512.22,0,1512.22,1512.22,2022
2022-09-16,1578.92,0,1578.92,1578.92,2022
2022-09-17,1532.26,0,1532.26,1532.26,2022
2022-09-18,1338.17,0,1338.17,1338.17,2022
2022-09-19,1470.1,0,1470.1,1470.1,2022
2022-09-20,1435.95,0,1435.95,1435.95,2022
2022-09-21,1468.81,0,1468.81,1468.81,2022
2022-09-22,1522.32,0,1522.32,1522.32,2022
2022-09-23,1512.02,0,1512.02,1512.02,2022
2022-09-24,1517.63,0,1517.63,1517.63,2022
2022-09-25,1341.59,0,1341.59,1341.59,2022
2022-09-26,1530.83,0,1530.83,1530.83,2022
2022-09-27,1586.39,0,1586.39,1586.39,2022
2022-09-28,1527.42,0,1527.42,1527.42,2022
